config,rep,meter,energy_j,power_avg_w,duration_s,flops_proxy,nexus_pred_j,ecu,mcer,ddev
baseline,1,termuxapi,12.252,1.9484,5.6569,2000000,0.001875609,12.252,1.5,0.0
baseline,2,termuxapi,13.1132,2.0554,5.6405,2000000,0.001875609,13.1132,1.5,0.048
baseline,3,termuxapi,39.105,4.657,7.3121,2000000,0.001875609,39.105,1.5,0.7101
baseline,4,termuxapi,33.846,9.6451,3.0646,2000000,0.001875609,33.846,1.5,0.5658
baseline,5,termuxapi,27.0207,9.644,2.6129,2000000,0.001875609,27.0207,1.5,0.4825
optimized,1,termuxapi,14.8506,9.5562,1.4388,1000000,0.00046903,14.8506,1.5,0.0
optimized,2,termuxapi,16.6251,10.6512,1.4423,1000000,0.00046903,16.6251,1.5,0.0797
optimized,3,termuxapi,16.1084,10.0566,1.4339,1000000,0.00046903,16.1084,1.5,0.0575
optimized,4,termuxapi,14.7513,9.3938,1.5257,1000000,0.00046903,14.7513,1.5,0.0596
optimized,5,termuxapi,14.0346,9.3546,1.4302,1000000,0.00046903,14.0346,1.5,0.0695
