config,rep,meter,energy_j,power_avg_w,duration_s,flops_proxy,nexus_pred_j,ecu,mcer,ddev
baseline,1,termuxapi,27.9026,11.0312,2.2299,2000000,0.001875609,27.9026,1.5,0.0
baseline,2,termuxapi,29.7533,11.3662,2.2458,2000000,0.001875609,29.7533,1.5,0.0454
baseline,3,termuxapi,26.8626,11.3165,2.1749,2000000,0.001875609,26.8626,1.5,0.052
baseline,4,termuxapi,26.6299,10.868,2.2293,2000000,0.001875609,26.6299,1.5,0.0512
baseline,5,termuxapi,27.2189,11.1598,2.2545,2000000,0.001875609,27.2189,1.5,0.0455
optimized,1,termuxapi,12.4679,9.9775,1.1328,1000000,0.00046903,12.4679,1.5,0.0
optimized,2,termuxapi,11.7729,9.7469,1.1534,1000000,0.00046903,11.7729,1.5,0.0405
optimized,3,termuxapi,12.0382,9.9343,1.1327,1000000,0.00046903,12.0382,1.5,0.029
optimized,4,termuxapi,12.173,10.136,1.1248,1000000,0.00046903,12.173,1.5,0.0239
optimized,5,termuxapi,12.6229,10.3305,1.1498,1000000,0.00046903,12.6229,1.5,0.0277
